set_id,set_name,printed_total,last_updated,last_checked,cards_downloaded,set_complete
base1,Base,102,2022/10/10 15:12:00,2025-10-12 20:49:21,102,False
base2,Jungle,64,2020/08/14 09:35:00,2025-10-12 20:49:21,64,False
basep,Wizards Black Star Promos,53,2020/08/14 09:35:00,2025-10-12 20:49:21,53,False
base3,Fossil,62,2020/08/14 09:35:00,2025-10-12 20:49:21,62,False
base4,Base Set 2,130,2022/10/10 15:12:00,2025-10-12 20:49:21,130,False
base5,Team Rocket,82,2020/08/14 09:35:00,2025-10-12 20:49:21,82,False
gym1,Gym Heroes,132,2022/10/10 15:12:00,2025-10-12 20:49:21,132,False
gym2,Gym Challenge,132,2022/10/10 15:12:00,2025-10-12 20:49:21,132,False
neo1,Neo Genesis,111,2022/10/10 15:12:00,2025-10-12 20:49:21,111,False
neo2,Neo Discovery,75,2020/08/14 09:35:00,2025-10-12 20:49:21,75,False
si1,Southern Islands,18,2019/01/28 16:44:00,2025-10-12 20:49:21,18,False
neo3,Neo Revelation,64,2020/08/14 09:35:00,2025-10-12 20:49:21,64,False
neo4,Neo Destiny,105,2020/09/25 10:09:00,2025-10-12 20:49:21,105,False
base6,Legendary Collection,110,2020/08/14 09:35:00,2025-10-12 20:49:21,110,False
ecard1,Expedition Base Set,165,2022/10/10 15:12:00,2025-10-12 20:49:21,165,False
ecard2,Aquapolis,147,2020/08/14 09:35:00,2025-10-12 20:49:21,147,False
ecard3,Skyridge,144,2020/08/14 09:35:00,2025-10-12 20:49:21,144,False
ex1,Ruby & Sapphire,109,2018/03/04 10:35:00,2025-10-12 20:49:21,109,False
ex2,Sandstorm,100,2018/03/04 10:35:00,2025-10-12 20:49:21,100,False
ex3,Dragon,97,2023/02/16 05:47:00,2025-10-12 20:49:21,97,False
np,Nintendo Black Star Promos,40,2020/05/01 16:06:00,2025-10-12 20:49:21,40,False
ex4,Team Magma vs Team Aqua,95,2019/01/28 16:44:00,2025-10-12 20:49:21,95,False
ex5,Hidden Legends,101,2019/01/28 16:44:00,2025-10-12 20:49:21,101,False
ex6,FireRed & LeafGreen,112,2019/01/28 16:44:00,2025-10-12 20:49:21,112,False
pop1,POP Series 1,17,2018/03/04 10:35:00,2025-10-12 20:49:21,17,False
ex7,Team Rocket Returns,109,2019/01/28 16:44:00,2025-10-12 20:49:21,109,False
ex8,Deoxys,107,2019/01/28 16:44:00,2025-10-12 20:49:21,107,False
ex9,Emerald,106,2020/02/08 09:00:00,2025-10-12 20:49:21,106,False
ex10,Unseen Forces,115,2020/08/14 09:35:00,2025-10-12 20:49:21,115,False
pop2,POP Series 2,17,2018/03/04 10:35:00,2025-10-12 20:49:21,17,False
ex11,Delta Species,113,2020/05/01 16:06:00,2025-10-12 20:49:21,113,False
ex12,Legend Maker,92,2018/03/04 10:35:00,2025-10-12 20:49:21,92,False
pop3,POP Series 3,17,2020/08/14 09:35:00,2025-10-12 20:49:21,17,False
ex13,Holon Phantoms,110,2018/03/04 10:35:00,2025-10-12 20:49:21,110,False
ex14,Crystal Guardians,100,2018/03/04 10:35:00,2025-10-12 20:49:21,100,False
pop4,POP Series 4,17,2020/08/14 09:35:00,2025-10-12 20:49:21,17,False
ex15,Dragon Frontiers,101,2020/08/14 09:35:00,2025-10-12 20:49:21,101,False
pop5,POP Series 5,17,2020/08/14 09:35:00,2025-10-12 20:49:21,17,False
ex16,Power Keepers,108,2018/03/04 10:35:00,2025-10-12 20:49:21,108,False
dp1,Diamond & Pearl,130,2020/08/14 09:35:00,2025-10-12 20:49:21,130,False
dpp,DP Black Star Promos,56,2020/08/14 09:35:00,2025-10-12 20:49:21,0,False
dp2,Mysterious Treasures,123,2018/03/04 10:35:00,2025-10-12 20:49:21,123,False
